feature,normal_mean,spoofed_mean,difference
course_change,2.5731749298409725,43.35926852743022,40.78609359758924
distance_m,1.293354100284927,2.63542756863311,1.342073468348183
coord_speed,1.293354100284927,2.63542756863311,1.342073468348183
course_bearing_diff,4.040593703121232,2.9822403898943817,1.0583533132268501
sat_locks,8.87577174929841,7.987969201154956,0.8878025481434539
speed_residual,0.07642769839865816,0.8017476248079252,0.725319926409267
velocity,1.259934518241347,1.9021198267564967,0.6421853085151497
sat_count,11.01178671655753,10.386910490856593,0.6248762257009375
hdop,0.9749691300280637,1.4488402309913377,0.473871100963274
sat_discrepancy,2.1360149672591207,2.3989412897016362,0.26292632244251557
sat_ratio,0.8135628317768628,0.7756381449673174,0.037924686809545416
