feature,importance,importance_percent
hdop_diff,0.15516958445837664,15.516958445837664
hdop,0.11994128957213082,11.994128957213082
hdop_std_5,0.11719898362910641,11.71989836291064
hdop_mean_5,0.11703438922879637,11.703438922879638
sat_discrepancy_std_5,0.10060307467175691,10.060307467175692
sat_ratio_std_5,0.08218811738921294,8.218811738921294
course_change_mean_5,0.061512434393919006,6.151243439391901
course_change_std_5,0.05793761817820814,5.793761817820814
velocity_std_5,0.035033379955439654,3.5033379955439656
velocity_mean_5,0.03328591315184876,3.3285913151848763
coord_speed_std_5,0.028875087329886844,2.8875087329886844
coord_speed_mean_5,0.014777386049212441,1.4777386049212442
course_change,0.011234875943409217,1.1234875943409217
course_bearing_diff_mean_5,0.008567016995438843,0.8567016995438843
course_bearing_diff_std_5,0.00622508476461947,0.622508476461947
sat_count,0.005340202258686734,0.5340202258686734
acceleration,0.0051612145449698235,0.5161214544969823
velocity,0.00513965802968448,0.513965802968448
sat_discrepancy_mean_5,0.004819261717428406,0.4819261717428406
sat_ratio_mean_5,0.0042896543361163435,0.42896543361163436
speed_residual_std_5,0.0035787598214054826,0.3578759821405483
distance_m,0.003478357242410205,0.3478357242410205
coord_speed,0.0034579039484719564,0.34579039484719565
speed_residual_mean_5,0.003256445694916861,0.32564456949168613
velocity_diff,0.002655877787044625,0.2655877787044625
sat_ratio,0.002018836727438037,0.2018836727438037
course_filled,0.0019052388206895485,0.19052388206895485
course_bearing_diff,0.0018794431923300347,0.18794431923300348
speed_residual,0.0013144291213554001,0.13144291213554002
sat_discrepancy,0.0012612428181547433,0.12612428181547433
sat_locks,0.0005191823276954482,0.051918232769544825
is_fast_human,0.00032402395185263566,0.03240239518526357
is_stationary,1.603194798672819e-05,0.001603194798672819
